client_id;age_moyen;panier_moyen
c_1;66,56410256410257;14,312307692307694
c_10;65,60344827586206;23,337931034482757
c_100;29,25;31,85625
c_1000;55,72;18,095119999999998
c_1001;39,61764705882353;17,77313725490196
c_1002;39,55555555555556;11,549444444444443
c_1003;39,733333333333334;11,522285714285713
c_1004;48,666666666666664;15,398484848484848
c_1005;80,76271186440678;14,320847457627117
c_1006;42,726351351351354;13,452736486486486
c_1007;80,43478260869566;18,47695652173913
c_1008;55,5;15,323333333333332
c_1009;27,5;25,690999999999995
c_101;20,61111111111111;21,706666666666667
c_1010;27,677419354838708;52,10612903225806
c_1011;22,789473684210527;28,542631578947365
c_1012;64,68;13,9628
c_1013;39,67231638418079;14,940677966101696
c_1014;32,692622950819676;13,890163934426228
c_1015;68,54545454545455;16,46878787878788
c_1016;41,53048780487805;11,773536585365854
c_1017;46,701863354037265;13,561428571428571
c_1018;28,633333333333333;62,833666666666666
c_1019;73,73076923076923;18,284230769230767
c_102;39,80952380952381;15,100476190476192
c_1020;46,62162162162162;15,018918918918917
c_1021;22,58823529411765;61,881764705882354
c_1022;25,805555555555557;50,42055555555555
c_1023;22,83823529411765;49,650588235294116
c_1024;51,333333333333336;16,522222222222222
c_1025;37,640926640926644;14,277837837837838
c_1026;23,379310344827587;53,40206896551724
c_1027;42,61165048543689;13,585339805825242
c_1028;35,65505226480836;12,445574912891987
c_1029;65,72727272727273;17,766363636363636
c_103;35,55384615384615;11,735846153846152
c_1030;73,74193548387096;13,66741935483871
c_1031;58,703448275862065;20,199172413793104
c_1032;58,575;14,397749999999998
c_1033;22,0;80,128
c_1034;57,916666666666664;16,8275
c_1035;40,666666666666664;15,834761904761903
c_1036;45,57142857142857;12,453571428571427
c_1037;60,56989247311828;16,523548387096774
c_1038;19,756756756756758;21,732972972972973
c_1039;58,7125;17,908625
c_104;26,714285714285715;27,101428571428574
c_1040;43,72727272727273;12,475454545454545
c_1041;44,8235294117647;12,365882352941176
c_1042;18,083333333333332;29,0625
c_1043;44,49425287356322;11,236551724137932
c_1044;65,52380952380952;20,31095238095238
c_1045;49,80681818181818;14,281818181818181
c_1046;17,73170731707317;22,42878048780488
c_1047;48,6875;13,524531249999999
c_1048;23,5625;51,378125
c_1049;55,53846153846154;16,56153846153846
c_105;45,8974358974359;12,058461538461538
c_1050;36,70612244897959;13,138122448979592
c_1051;53,714285714285715;16,103928571428572
c_1052;20,88679245283019;53,03754716981132
c_1053;22,692307692307693;40,035384615384615
c_1054;56,642857142857146;16,384714285714285
c_1055;56,670212765957444;17,14308510638298
c_1056;26,692307692307693;45,15461538461538
c_1057;44,55670103092783;15,422268041237114
c_1058;52,40816326530612;18,34
c_1059;25,666666666666668;44,885
c_106;54,625;12,608749999999999
c_1060;48,70445344129555;11,690445344129554
